code ,city         ,street              ,number
71739,Oberriexingen,Mörikestrasse       ,1
71739,Oberriexingen,Eichendorffstraße   ,100
71739,Oberriexingen,Hauptstraße         ,1
71739,Oberriexingen,Kernerstraße        ,4
71739,Oberriexingen,Sachsenheimerstraße ,25
71739,Oberriexingen,Wernerstraße        ,30
71739,Oberriexingen,Hauffstraße         ,5
71739,Oberriexingen,Rosenweg            ,3
71739,Oberriexingen,Ulmenweg            ,1
71739,Oberriexingen,Weilerstraße        ,3
71739,Oberriexingen,Zwingerstraße       ,10
71739,Oberriexingen,Enzgasse            ,4
71739,Oberriexingen,Torstraße           ,5
71739,Oberriexingen,Gartenstraße        ,10
71739,Oberriexingen,Hölderlinstraße     ,9
71739,Oberriexingen,Hohe Straße         ,5
71739,Oberriexingen,Finkenweg           ,3
71739,Oberriexingen,Amselweg            ,4
71739,Oberriexingen,August-Lämmle-Straße,5
71739,Oberriexingen,Theodor-Heuss-Straße,4
71739,Oberriexingen,Birkenweg           ,20
71739,Oberriexingen,Lilienweg           ,10
71739,Oberriexingen,Primelweg           ,2
71739,Oberriexingen,Gerd-Gaiser-Straße  ,1
71739,Oberriexingen,Gothestraße         ,8
71739,Oberriexingen,Theodor-Storm-Straße,9
71739,Oberriexingen,Silcherstraße       ,12
71739,Oberriexingen,Mühlstraße          ,2
71739,Oberriexingen,Lerchenweg          ,2
71739,Oberriexingen,Austraße            ,8
71739,Oberriexingen,Hägelesgasse,1
71739,Oberriexingen,Backhausgasse,8
71739,Oberriexingen,Torstraße,2
71739,Oberriexingen,Brunnengasse,5
71739,Oberriexingen,Obere Gasse,11
71739,Oberriexingen,Schwabstraße,9
71739,Oberriexingen,Obere Gasse,3
71739,Oberriexingen,Lindenstraße,4
71739,Oberriexingen,Mühlstraße,10
71739,Oberriexingen,Enzpark,27
71739,Oberriexingen,Uhlandweg,5
71739,Oberriexingen,Wilhelmstraße,8
71739,Oberriexingen,Albertstraße,5
71739,Oberriexingen,Mörikestraße,13
71739,Oberriexingen,Römerstraße,30
71739,Oberriexingen,Lerchenweg,9
71739,Oberriexingen,Starenweg,15
71739,Oberriexingen,Stieglitzweg,3
71739,Oberriexingen,Ringstraße,9
71739,Oberriexingen,Untere Gasse,34
71739,Oberriexingen,Sachsenheimerstraße,23
71739,Oberriexingen,Sachsenheimerstraße,17
71739,Oberriexingen,Wernerstraße,25
71739,Oberriexingen,Meisenweg,16
71739,Oberriexingen,Ahornweg,11
71739,Oberriexingen,Rosenweg,24
71739,Oberriexingen,Dahlienweg,12
71739,Oberriexingen,Lilienweg,9
71739,Oberriexingen,Vaihinger Weg,6
71739,Oberriexingen,Birkenweg,5
71739,Oberriexingen,Eichenweg,9
71739,Oberriexingen,Akazienweg,13
71739,Oberriexingen,Kastanienweg,9
71739,Oberriexingen,Rosenweg,4
71739,Oberriexingen,Theodor-Heuss-Straße,27
71739,Oberriexingen,Karl-Kaltschmied Straße,11
71739,Oberriexingen,Im Weizen,2
71739,Oberriexingen,Im Roggen,9
71739,Oberriexingen,Dinkelweg,12
71739,Oberriexingen,Emmerweg,5
71739,Oberriexingen,Zeisigweg,8
71739,Oberriexingen,Brunnengasse,10
71739,Oberriexingen,Hauptstraße,25
