code ,city         ,street              ,number
71739,Oberriexingen,Mörikestrasse       ,1
71739,Oberriexingen,Eichendorffstraße   ,100
71739,Oberriexingen,Hauptstraße         ,1
71739,Oberriexingen,Kernerstraße        ,4
71739,Oberriexingen,Sachsenheimerstraße ,25
71739,Oberriexingen,Wernerstraße        ,30
71739,Oberriexingen,Hauffstraße         ,5
71739,Oberriexingen,Rosenweg            ,3
71739,Oberriexingen,Ulmenweg            ,1
71739,Oberriexingen,Weilerstraße        ,3
71739,Oberriexingen,Zwingerstraße       ,10
71739,Oberriexingen,Enzgasse            ,4
71739,Oberriexingen,Torstraße           ,5
71739,Oberriexingen,Gartenstraße        ,10
71739,Oberriexingen,Hölderlinstraße     ,9
71739,Oberriexingen,Hohe Straße         ,5
71739,Oberriexingen,Finkenweg           ,3
71739,Oberriexingen,Amselweg            ,4
71739,Oberriexingen,August-Lämmle-Straße,5
71739,Oberriexingen,Theodor-Heuss-Straße,4
71739,Oberriexingen,Birkenweg           ,20
71739,Oberriexingen,Lilienweg           ,10
71739,Oberriexingen,Primelweg           ,2
71739,Oberriexingen,Gerd-Gaiser-Straße  ,1
